dataset,cifar100
model,resnet18
batch_size,128
epochs,200
learning_rate,0.1
data_augmentation,True
cutout,False
n_holes,1
length,8
no_cuda,False
seed,0
cuda,True
""
epoch,train_acc,test_acc
0,0.09424,0.1574
1,0.19914,0.2509
2,0.29632,0.3438
3,0.39088,0.4014
4,0.45672,0.4722
5,0.50576,0.4122
6,0.53614,0.4918
7,0.56246,0.5133
8,0.58084,0.5303
9,0.59194,0.4795
10,0.60798,0.4896
11,0.61932,0.5261
12,0.62718,0.5408
13,0.63454,0.5376
14,0.63922,0.5298
15,0.64682,0.556
16,0.6564,0.5517
17,0.6588,0.5437
18,0.66512,0.5714
19,0.66896,0.5922
20,0.67086,0.5467
21,0.6738,0.5907
22,0.6792,0.5564
23,0.68044,0.5631
24,0.68572,0.5891
25,0.68648,0.5578
26,0.69042,0.5989
27,0.69104,0.5795
28,0.69394,0.5807
29,0.69426,0.5682
30,0.699,0.5724
31,0.70088,0.5716
32,0.7003,0.5717
33,0.70082,0.5833
34,0.70404,0.575
35,0.70088,0.5437
36,0.70374,0.5707
37,0.70752,0.6001
38,0.70662,0.5945
39,0.71032,0.5482
40,0.70718,0.596
41,0.71004,0.5739
42,0.70834,0.594
43,0.70904,0.5684
44,0.7091,0.5903
45,0.7132,0.6064
46,0.71574,0.5754
47,0.71774,0.5651
48,0.71578,0.5671
49,0.71504,0.5878
50,0.71446,0.5916
51,0.71632,0.5803
52,0.71708,0.5893
53,0.71664,0.5856
54,0.71744,0.5811
55,0.71882,0.5693
56,0.71846,0.6099
57,0.72004,0.5766
58,0.71934,0.6076
59,0.7205,0.6126
60,0.72024,0.5913
61,0.8479,0.7447
62,0.89174,0.7466
63,0.91172,0.7439
64,0.92648,0.7374
65,0.9344,0.7376
66,0.94212,0.737
67,0.94618,0.7326
68,0.95124,0.7375
69,0.95184,0.7205
70,0.9527,0.7263
71,0.95048,0.7236
72,0.94984,0.7146
73,0.94852,0.6929
74,0.94322,0.6988
75,0.94128,0.7012
76,0.9357,0.701
77,0.93718,0.7001
78,0.93538,0.6991
79,0.93822,0.7025
80,0.93384,0.6958
81,0.93738,0.7001
82,0.93388,0.6946
83,0.93572,0.6991
84,0.93766,0.6994
85,0.93494,0.6876
86,0.9362,0.6967
87,0.93908,0.6923
88,0.94206,0.6887
89,0.9366,0.6917
90,0.93922,0.6733
91,0.94196,0.6919
92,0.93876,0.6912
93,0.94098,0.6877
94,0.94048,0.6958
95,0.94186,0.6889
96,0.9397,0.6936
97,0.93836,0.6853
98,0.9426,0.7002
99,0.94516,0.6821
100,0.94642,0.6972
101,0.94514,0.6943
102,0.94748,0.6817
103,0.94482,0.6833
104,0.94848,0.6937
105,0.947,0.6949
106,0.94062,0.6904
107,0.94448,0.693
108,0.94108,0.6937
109,0.94574,0.695
110,0.9475,0.6922
111,0.94894,0.6932
112,0.9471,0.6761
113,0.94638,0.687
114,0.94856,0.6933
115,0.95012,0.6907
116,0.947,0.6756
117,0.94826,0.7007
118,0.94826,0.6949
119,0.94778,0.683
120,0.94774,0.6901
121,0.98414,0.7524
122,0.9952,0.7546
123,0.99676,0.7583
124,0.99766,0.7617
125,0.99808,0.7589
126,0.99844,0.761
127,0.99884,0.7609
128,0.99884,0.7646
129,0.99894,0.764
130,0.99908,0.7647
131,0.99924,0.7663
132,0.99934,0.7637
133,0.99928,0.7658
134,0.99936,0.769
135,0.9994,0.7663
136,0.9992,0.766
137,0.99928,0.7672
138,0.99956,0.767
139,0.99936,0.7706
140,0.99934,0.7671
141,0.99942,0.7674
142,0.99938,0.7707
143,0.99936,0.7682
144,0.99946,0.7677
145,0.99942,0.7683
146,0.99946,0.7692
147,0.9996,0.7702
148,0.99954,0.7722
149,0.99954,0.7699
150,0.99956,0.7702
151,0.99954,0.7714
152,0.99958,0.7723
153,0.99954,0.7714
154,0.99952,0.7709
155,0.99962,0.7733
156,0.9995,0.7715
157,0.99966,0.7716
158,0.99966,0.7725
159,0.99968,0.7726
160,0.99958,0.7735
161,0.99974,0.7734
162,0.99964,0.7716
163,0.99964,0.7737
164,0.99964,0.7732
165,0.99974,0.7745
166,0.9997,0.7761
167,0.99966,0.775
168,0.99974,0.775
169,0.99978,0.7731
170,0.99974,0.7753
171,0.99962,0.775
172,0.9997,0.7752
173,0.99976,0.7767
174,0.99972,0.777
175,0.99962,0.7758
176,0.99974,0.7749
177,0.99968,0.775
178,0.99978,0.7749
179,0.99974,0.7758
180,0.9998,0.7754
181,0.99974,0.7761
182,0.99978,0.7743
183,0.9998,0.7734
184,0.9997,0.7759
185,0.9997,0.7739
186,0.9998,0.7747
187,0.9998,0.7773
188,0.99968,0.775
189,0.99974,0.7752
190,0.99976,0.7763
191,0.9996,0.7738
192,0.99978,0.7748
193,0.9997,0.7767
194,0.99972,0.7764
195,0.99976,0.7766
196,0.9998,0.7757
197,0.99974,0.7778
198,0.99966,0.7759
199,0.99978,0.7753
